0,0,32,0,0,67,0,67,0,0,0,0,0,0,0,5,0,0,5,32,32,32,0,0,0,0,0,0,0,1,5,5,0,0,136,0,0,0,0,0,0,0,0,0,0,0,0,0
0,67,32,67,0,0,0,0,137,136,136,136,136,136,136,136,137,1,1,0,487,101,101,101,101,101,101,101,487,0,67,67,0,32,136,0,0,0,5,67,0,0,0,0,0,0,0,0
67,5,5,67,0,5,0,0,136,384,354,354,354,354,354,384,136,32,32,0,487,0,0,0,0,0,0,0,487,0,5,5,67,0,136,0,0,67,0,0,0,0,0,0,0,0,0,0
5,32,67,32,1,0,0,0,136,416,386,359,359,359,386,416,136,0,67,67,487,0,449,0,451,0,448,0,487,0,0,32,67,0,136,0,32,0,0,0,0,0,0,0,0,0,0,0
67,0,0,67,1,0,0,0,136,416,0,416,325,416,0,416,136,0,32,0,487,0,2,2,2,2,2,0,487,0,0,32,67,0,136,0,67,5,67,1,0,0,0,0,0,0,0,0
1,1,5,67,32,0,1,0,136,416,0,0,40,0,0,416,136,0,0,0,487,0,448,0,2,0,449,0,487,70,0,0,137,136,137,0,67,1,32,0,0,0,0,0,0,0,0,0
67,0,67,67,5,0,0,0,136,416,0,44,42,226,0,416,136,5,0,70,487,0,0,0,2,480,0,0,487,0,70,0,136,67,0,0,67,32,0,67,0,0,0,0,0,0,0,0
67,32,5,5,5,0,0,0,136,416,0,0,42,44,0,416,136,0,0,0,487,0,450,0,2,0,450,0,487,0,0,0,136,0,67,32,0,32,0,0,1,67,0,0,0,0,0,0
5,5,67,67,0,0,0,0,136,385,354,354,354,354,354,385,136,0,5,0,487,101,487,101,2,101,487,101,487,0,207,207,136,5,1,32,67,32,67,67,67,67,67,0,0,0,0,0
0,1,1,32,1,32,0,0,136,416,386,416,420,416,386,416,136,0,0,0,0,37,0,0,2,0,0,0,0,0,207,207,136,0,0,0,67,0,5,32,0,32,1,0,0,0,0,0
0,32,32,32,0,32,0,0,137,136,136,136,196,136,136,136,137,0,0,0,37,0,0,0,2,2,2,2,2,0,207,207,137,136,136,136,137,0,32,67,67,32,0,67,0,0,0,0
0,32,0,32,1,0,0,67,0,1,0,0,40,0,5,0,0,0,0,0,0,5,357,357,357,165,165,165,40,0,0,0,0,0,67,0,136,0,0,0,0,0,0,0,0,0,0,0
67,1,32,0,0,0,67,32,354,0,0,0,40,1,0,0,5,358,358,358,0,0,421,292,421,0,5,0,42,40,40,40,40,42,40,40,166,40,40,40,40,40,40,40,40,40,40,40
67,5,0,0,0,0,0,354,417,416,0,1,40,0,0,5,358,555,416,555,358,0,0,40,1,5,0,0,40,0,0,0,67,40,0,0,136,0,0,0,0,0,0,0,0,0,0,0
67,0,0,0,0,0,353,416,416,416,368,0,40,0,0,0,416,555,296,555,416,0,0,42,40,40,40,40,41,0,490,491,492,40,37,0,136,0,32,0,5,67,32,5,5,0,1,0
0,0,67,0,0,0,0,2,0,354,44,40,42,0,0,0,0,0,40,0,1,240,5,40,0,0,37,0,0,0,522,523,524,40,0,37,136,0,67,67,0,0,0,67,5,1,67,0
5,67,0,0,0,400,0,0,2,416,416,0,40,0,452,0,0,1,41,42,40,40,40,42,0,357,357,357,357,0,0,41,40,41,0,0,136,67,0,32,32,5,67,32,0,0,0,0
67,5,5,67,0,0,368,416,400,416,416,353,40,0,44,0,0,5,0,40,0,1,0,40,270,423,487,291,487,0,205,205,205,205,205,0,136,0,0,0,1,67,67,1,0,0,0,0
32,1,1,67,67,0,0,2,2,2,1,0,40,0,40,1,0,0,1,40,0,37,0,40,0,0,0,40,0,0,205,205,205,205,205,0,136,0,0,0,67,1,67,5,67,0,0,0
1,1,67,67,0,0,0,0,0,0,0,0,41,40,42,40,40,40,42,41,0,0,358,358,40,40,40,41,5,0,0,0,0,0,0,0,136,0,67,0,0,5,32,0,1,0,0,0
0,32,32,67,32,32,0,0,0,32,0,0,0,0,0,0,37,0,40,0,0,358,416,416,358,0,1,5,0,67,0,137,136,136,136,136,137,0,0,0,32,0,5,1,0,0,0,0
67,67,32,0,1,0,5,67,5,0,67,0,0,0,0,0,0,5,40,37,0,416,416,292,416,0,0,0,67,0,0,136,0,0,0,0,0,0,0,67,5,67,0,0,67,32,0,0
67,67,0,32,32,5,0,5,0,0,5,0,32,5,0,0,0,0,40,0,0,0,0,40,5,0,0,137,136,136,136,137,0,5,67,67,0,5,0,67,5,32,67,0,0,5,0,0
32,32,67,67,1,0,1,1,67,32,5,67,0,0,5,0,0,0,41,40,40,40,40,41,0,0,0,136,0,0,0,0,32,32,0,32,5,67,67,1,67,0,0,0,0,0,0,0
